Train ID,Scheduled Time,Day of Week
T00104,14:20,Monday
T00105,14:39,Monday
T00106,02:34,Friday
T00107,08:08,Monday
T00108,07:23,Tuesday
T00109,14:53,Saturday
T00110,09:39,Friday
T00111,00:42,Wednesday
T00112,21:06,Wednesday
T00113,03:56,Saturday
T00114,17:09,Wednesday
T00115,19:13,Wednesday
T00116,06:43,Sunday
T00117,08:32,Wednesday
T00118,01:05,Thursday
T00119,08:02,Wednesday
T00120,04:40,Tuesday
T00121,23:28,Saturday
T00122,13:35,Monday
T00123,02:56,Tuesday
T00124,17:02,Friday
T00125,17:09,Tuesday
T00126,01:19,Sunday
T00127,01:57,Tuesday
T00128,21:15,Monday
T00129,11:49,Sunday
T00130,13:39,Tuesday
T00131,07:55,Sunday
T00132,05:56,Monday
T00133,05:47,Sunday
T00134,13:51,Sunday
T00135,23:51,Wednesday
T00136,05:50,Monday
T00137,12:55,Sunday
T00138,15:14,Sunday
T00139,14:22,Sunday
T00140,07:14,Saturday
T00141,06:25,Wednesday
T00142,02:49,Wednesday
T00143,20:32,Saturday
T00144,17:21,Monday
T00145,08:11,Wednesday
T00146,01:06,Thursday
T00147,11:46,Thursday
T00148,19:32,Thursday
T00149,18:12,Monday
T00150,22:27,Friday
T00151,17:43,Saturday
T00152,23:42,Wednesday
T00153,13:04,Wednesday
T00154,19:20,Sunday
T00155,03:46,Friday
T00156,09:42,Wednesday
T00157,12:44,Friday
T00158,04:12,Saturday
T00159,12:43,Tuesday
T00160,19:36,Thursday
T00161,17:53,Wednesday
T00162,09:13,Sunday
T00163,18:38,Wednesday
T00164,14:28,Saturday
T00165,06:32,Sunday
T00166,23:10,Monday
T00167,09:32,Saturday
T00168,19:21,Sunday
T00169,07:43,Tuesday
T00170,06:09,Monday
T00171,07:30,Sunday
T00172,02:29,Saturday
T00173,18:12,Saturday
T00174,12:31,Tuesday
T00175,04:41,Monday
T00176,03:49,Tuesday
T00177,05:51,Friday
T00178,14:03,Tuesday
T00179,03:29,Sunday
T00180,14:42,Friday
T00181,19:20,Friday
T00182,23:57,Thursday
T00183,17:28,Saturday
T00184,15:28,Sunday
T00185,07:53,Wednesday
T00186,16:31,Tuesday
T00187,08:28,Saturday
T00188,09:15,Wednesday
T00189,10:57,Monday
T00190,04:09,Thursday
T00191,22:09,Tuesday
T00192,02:26,Wednesday
T00193,17:29,Monday
T00194,06:53,Thursday
T00195,18:44,Sunday
T00196,18:24,Monday
T00197,11:19,Sunday
T00198,13:34,Saturday
T00199,17:51,Tuesday
T00200,15:14,Thursday
T00201,15:01,Wednesday
T00202,21:43,Saturday
T00203,05:53,Tuesday
T00204,19:34,Thursday
T00205,18:36,Monday
T00206,02:41,Tuesday
T00207,14:11,Wednesday
T00208,12:20,Thursday
T00209,10:21,Wednesday
T00210,13:16,Thursday
T00211,00:47,Monday
T00212,11:14,Monday
T00213,20:02,Tuesday
T00214,06:53,Friday
T00215,04:15,Thursday
T00216,21:07,Tuesday
T00217,14:44,Sunday
T00218,11:10,Friday
T00219,23:45,Sunday
T00220,05:19,Friday
T00221,00:59,Friday
T00222,21:58,Thursday
T00223,22:12,Friday
T00224,22:53,Tuesday
T00225,03:44,Sunday
T00226,21:38,Sunday
T00227,18:50,Wednesday
T00228,17:27,Wednesday
T00229,02:32,Wednesday
T00230,00:54,Sunday
T00231,15:06,Wednesday
T00232,20:57,Saturday
T00233,04:27,Saturday
T00234,16:41,Friday
T00235,17:49,Thursday
T00236,13:52,Friday
T00237,08:20,Sunday
T00238,02:17,Tuesday
T00239,14:36,Saturday
T00240,12:21,Thursday
T00241,10:11,Tuesday
T00242,11:51,Wednesday
T00243,08:56,Saturday
T00244,08:35,Friday
T00245,06:05,Saturday
T00246,13:31,Sunday
T00247,07:44,Saturday
T00248,22:31,Sunday
T00249,00:05,Tuesday
T00250,12:44,Wednesday
T00251,21:37,Thursday
T00252,17:33,Thursday
T00253,23:35,Wednesday
T00254,22:29,Wednesday
T00255,08:14,Saturday
T00256,06:20,Saturday
T00257,17:48,Tuesday
T00258,06:13,Thursday
T00259,08:46,Sunday
T00260,16:38,Monday
T00261,06:18,Wednesday
T00262,05:19,Saturday
T00263,17:08,Monday
T00264,01:35,Saturday
T00265,04:40,Monday
T00266,00:36,Thursday
T00267,15:28,Tuesday
T00268,01:16,Monday
T00269,02:25,Monday
T00270,18:40,Monday
T00271,04:09,Wednesday
T00272,02:15,Friday
T00273,13:38,Sunday
T00274,19:14,Thursday
T00275,14:58,Wednesday
T00276,18:27,Friday
T00277,19:03,Saturday
T00278,03:48,Saturday
T00279,06:16,Monday
T00280,05:15,Friday
T00281,02:10,Thursday
T00282,14:44,Thursday
T00283,09:02,Wednesday
T00284,22:18,Sunday
T00285,14:04,Tuesday
T00286,08:50,Friday
T00287,21:51,Thursday
T00288,03:34,Saturday
T00289,04:58,Sunday
T00290,04:04,Tuesday
T00291,09:38,Sunday
T00292,18:58,Thursday
T00293,03:29,Wednesday
T00294,22:25,Friday
T00295,17:31,Monday
T00296,19:02,Saturday
T00297,10:38,Monday
T00298,02:14,Sunday
T00299,18:37,Sunday
T00300,21:52,Friday
T00301,01:48,Thursday
T00302,16:41,Wednesday
T00303,05:37,Saturday
T00304,15:05,Wednesday
T00305,13:21,Saturday
T00306,03:54,Wednesday
T00307,13:44,Wednesday
T00308,21:25,Monday
T00309,14:05,Wednesday
T00310,10:07,Sunday
T00311,16:52,Saturday
T00312,17:29,Monday
T00313,06:33,Friday
T00314,15:40,Sunday
T00315,01:13,Friday
T00316,04:59,Thursday
T00317,22:31,Monday
T00318,20:38,Saturday
T00319,05:19,Monday
T00320,17:26,Tuesday
T00321,03:29,Saturday
T00322,04:31,Wednesday
T00323,16:45,Thursday
T00324,15:30,Thursday
T00325,17:09,Tuesday
T00326,19:32,Tuesday
T00327,02:17,Wednesday
T00328,16:17,Wednesday
T00329,23:19,Friday
T00330,21:31,Thursday
T00331,17:30,Wednesday
T00332,17:48,Thursday
T00333,14:59,Sunday
T00334,06:44,Friday
T00335,12:14,Monday
T00336,10:47,Saturday
T00337,12:24,Sunday
T00338,20:09,Monday
T00339,04:32,Wednesday
T00340,03:55,Monday
T00341,16:58,Monday
T00342,23:09,Sunday
T00343,20:09,Thursday
T00344,08:21,Saturday
T00345,12:41,Sunday
T00346,10:54,Sunday
T00347,17:24,Saturday
T00348,22:56,Sunday
T00349,17:02,Monday
T00350,07:40,Wednesday
T00351,07:47,Thursday
T00352,03:48,Saturday
T00353,03:28,Saturday
T00354,09:57,Monday
T00355,10:50,Wednesday
T00356,11:23,Tuesday
T00357,07:33,Friday
T00358,21:50,Tuesday
T00359,05:05,Sunday
T00360,12:39,Tuesday
T00361,15:58,Tuesday
T00362,07:29,Wednesday
T00363,14:16,Monday
T00364,14:57,Saturday
T00365,17:10,Thursday
T00366,11:37,Saturday
T00367,13:44,Thursday
T00368,09:12,Sunday
T00369,15:06,Thursday
T00370,18:22,Wednesday
T00371,22:18,Sunday
T00372,21:25,Monday
T00373,18:55,Sunday
T00374,23:03,Saturday
T00375,15:53,Sunday
T00376,07:38,Tuesday
T00377,20:12,Wednesday
T00378,21:48,Sunday
T00379,21:43,Saturday
T00380,03:57,Saturday
T00381,01:19,Monday
T00382,18:23,Tuesday
T00383,02:58,Wednesday
T00384,23:26,Tuesday
T00385,04:50,Wednesday
T00386,16:32,Sunday
T00387,05:16,Sunday
T00388,09:47,Sunday
T00389,03:29,Tuesday
T00390,07:55,Saturday
T00391,21:25,Wednesday
T00392,02:50,Monday
T00393,08:34,Thursday
T00394,11:43,Saturday
T00395,08:37,Sunday
T00396,20:23,Saturday
T00397,07:30,Friday
T00398,17:20,Tuesday
T00399,20:04,Sunday
T00400,14:58,Wednesday
T00401,20:26,Tuesday
T00402,01:02,Thursday
T00403,03:06,Friday
T00404,04:24,Wednesday
T00405,21:47,Friday
T00406,13:37,Saturday
T00407,04:56,Saturday
T00408,03:53,Friday
T00409,13:17,Saturday
T00410,11:13,Thursday
T00411,07:54,Monday
T00412,21:23,Saturday
T00413,11:03,Wednesday
T00414,06:07,Monday
T00415,21:13,Saturday
T00416,19:01,Sunday
T00417,10:15,Sunday
T00418,18:13,Sunday
T00419,17:13,Tuesday
T00420,07:21,Sunday
T00421,19:00,Sunday
T00422,04:08,Wednesday
T00423,05:07,Sunday
T00424,00:08,Wednesday
T00425,07:37,Monday
T00426,05:16,Tuesday
T00427,23:26,Monday
T00428,23:04,Thursday
T00429,11:32,Monday
T00430,14:32,Friday
T00431,01:46,Friday
T00432,09:29,Monday
T00433,01:30,Thursday
T00434,21:06,Saturday
T00435,14:04,Wednesday
T00436,19:09,Tuesday
T00437,08:39,Friday
T00438,17:45,Thursday
T00439,19:33,Thursday
T00440,16:38,Monday
T00441,22:07,Saturday
T00442,17:46,Thursday
T00443,14:56,Thursday
T00444,10:52,Thursday
T00445,13:46,Wednesday
T00446,13:20,Wednesday
T00447,11:09,Thursday
T00448,02:05,Monday
T00449,13:06,Saturday
T00450,11:51,Friday
T00451,01:37,Friday
T00452,10:42,Thursday
T00453,11:55,Sunday
T00454,13:55,Monday
T00455,09:38,Wednesday
T00456,03:36,Tuesday
T00457,04:42,Tuesday
T00458,03:22,Wednesday
T00459,03:48,Friday
T00460,07:51,Sunday
T00461,17:49,Friday
T00462,21:41,Monday
T00463,19:59,Sunday
T00464,22:17,Tuesday
T00465,08:44,Wednesday
T00466,11:00,Sunday
T00467,04:36,Thursday
T00468,02:09,Saturday
T00469,00:05,Friday
T00470,06:24,Thursday
T00471,10:10,Wednesday
T00472,23:20,Friday
T00473,02:56,Tuesday
T00474,05:48,Monday
T00475,21:05,Thursday
T00476,21:27,Friday
T00477,14:26,Tuesday
T00478,16:07,Thursday
T00479,03:18,Saturday
T00480,18:31,Saturday
T00481,09:02,Thursday
T00482,19:03,Tuesday
T00483,09:13,Sunday
T00484,08:18,Monday
T00485,00:31,Thursday
T00486,05:08,Friday
T00487,22:14,Friday
T00488,21:51,Monday
T00489,12:55,Monday
T00490,13:01,Monday
T00491,10:36,Friday
T00492,12:45,Thursday
T00493,09:07,Monday
T00494,10:10,Thursday
T00495,22:58,Monday
T00496,13:54,Tuesday
T00497,13:37,Friday
T00498,02:25,Saturday
T00499,10:14,Sunday
T00500,05:04,Saturday
T00501,03:33,Tuesday
T00502,11:22,Sunday
T00503,20:52,Tuesday
T00504,03:09,Tuesday
T00505,05:38,Sunday
T00506,20:04,Sunday
T00507,20:31,Sunday
T00508,18:48,Thursday
T00509,21:59,Saturday
T00510,20:39,Sunday
T00511,20:20,Thursday
T00512,02:30,Saturday
T00513,09:50,Friday
T00514,01:22,Monday
T00515,09:29,Monday
T00516,01:23,Monday
T00517,20:55,Friday
T00518,19:32,Thursday
T00519,18:35,Monday
T00520,14:58,Saturday
T00521,06:20,Thursday
T00522,16:09,Thursday
T00523,03:51,Saturday
T00524,02:32,Tuesday
T00525,01:15,Thursday
T00526,14:33,Friday
T00527,05:23,Wednesday
T00528,12:26,Saturday
T00529,19:03,Saturday
T00530,10:04,Monday
T00531,17:43,Wednesday
T00532,08:46,Friday
T00533,04:21,Friday
T00534,21:09,Wednesday
T00535,20:44,Thursday
T00536,04:38,Monday
T00537,09:35,Saturday
T00538,10:52,Saturday
T00539,22:53,Saturday
T00540,16:05,Saturday
T00541,13:32,Monday
T00542,11:19,Tuesday
T00543,10:49,Tuesday
T00544,07:08,Monday
T00545,09:54,Friday
T00546,17:53,Friday
T00547,01:42,Sunday
T00548,19:08,Thursday
T00549,04:10,Sunday
T00550,22:49,Sunday
T00551,05:46,Monday
T00552,13:23,Saturday
T00553,07:28,Wednesday
T00554,23:50,Tuesday
T00555,17:15,Sunday
T00556,15:57,Wednesday
T00557,21:36,Thursday
T00558,09:49,Friday
T00559,16:26,Sunday
T00560,06:51,Tuesday
T00561,08:03,Thursday
T00562,11:35,Saturday
T00563,16:54,Wednesday
T00564,02:48,Wednesday
T00565,14:57,Tuesday
T00566,13:05,Sunday
T00567,14:56,Monday
T00568,13:03,Friday
T00569,11:15,Monday
T00570,11:14,Wednesday
T00571,03:53,Saturday
T00572,10:50,Tuesday
T00573,01:18,Saturday
T00574,04:48,Thursday
T00575,14:39,Monday
T00576,00:16,Sunday
T00577,04:35,Friday
T00578,16:27,Sunday
T00579,09:15,Monday
T00580,01:15,Saturday
T00581,19:29,Monday
T00582,15:38,Monday
T00583,20:32,Tuesday
T00584,22:09,Thursday
T00585,00:39,Tuesday
T00586,18:26,Saturday
T00587,21:05,Wednesday
T00588,02:33,Friday
T00589,16:35,Thursday
T00590,15:02,Thursday
T00591,11:16,Monday
T00592,11:50,Wednesday
T00593,07:46,Saturday
T00594,03:49,Saturday
T00595,10:08,Wednesday
T00596,17:21,Tuesday
T00597,21:29,Thursday
T00598,20:11,Monday
T00599,22:49,Monday
T00600,09:12,Sunday
T00601,06:56,Wednesday
T00602,09:32,Sunday
T00603,17:30,Monday
T00604,20:12,Wednesday
T00605,01:55,Wednesday
T00606,08:07,Thursday
T00607,12:47,Thursday
T00608,10:11,Saturday
T00609,15:23,Wednesday
T00610,02:46,Monday
T00611,13:38,Friday
T00612,09:20,Monday
T00613,10:42,Wednesday
T00614,14:38,Thursday
T00615,05:44,Wednesday
T00616,14:02,Sunday
T00617,11:39,Wednesday
T00618,20:50,Monday
T00619,21:40,Wednesday
T00620,16:51,Saturday
T00621,05:01,Sunday
T00622,19:43,Monday
T00623,04:04,Sunday
T00624,20:23,Thursday
T00625,18:02,Tuesday
T00626,21:28,Wednesday
T00627,14:48,Friday
T00628,04:33,Thursday
T00629,10:41,Tuesday
T00630,03:01,Tuesday
T00631,15:33,Friday
T00632,03:16,Saturday
T00633,14:13,Wednesday
T00634,22:58,Tuesday
T00635,03:08,Thursday
T00636,05:57,Thursday
T00637,02:51,Sunday
T00638,10:42,Saturday
T00639,02:35,Wednesday
T00640,09:54,Saturday
T00641,22:59,Saturday
T00642,05:50,Friday
T00643,07:07,Sunday
T00644,04:15,Monday
T00645,11:35,Wednesday
T00646,14:51,Tuesday
T00647,19:56,Monday
T00648,09:25,Saturday
T00649,15:33,Sunday
T00650,13:52,Monday
T00651,04:20,Monday
T00652,14:29,Friday
T00653,11:08,Saturday
T00654,18:11,Thursday
T00655,16:58,Sunday
T00656,03:33,Wednesday
T00657,05:10,Saturday
T00658,07:22,Wednesday
T00659,02:16,Saturday
T00660,17:17,Saturday
T00661,09:39,Monday
T00662,16:41,Friday
T00663,18:09,Saturday
T00664,19:46,Wednesday
T00665,18:02,Monday
T00666,01:41,Wednesday
T00667,20:13,Thursday
T00668,19:40,Thursday
T00669,20:34,Saturday
T00670,09:30,Sunday
T00671,21:25,Thursday
T00672,02:44,Tuesday
T00673,14:26,Thursday
T00674,06:21,Tuesday
T00675,10:55,Wednesday
T00676,23:55,Thursday
T00677,04:48,Friday
T00678,17:06,Tuesday
T00679,14:07,Thursday
T00680,07:09,Monday
T00681,09:24,Thursday
T00682,07:55,Sunday
T00683,10:59,Saturday
T00684,10:12,Thursday
T00685,16:29,Wednesday
T00686,15:01,Thursday
T00687,16:29,Tuesday
T00688,18:22,Monday
T00689,09:31,Sunday
T00690,20:43,Wednesday
T00691,17:00,Thursday
T00692,04:56,Saturday
T00693,11:48,Wednesday
T00694,01:25,Friday
T00695,17:12,Friday
T00696,09:04,Friday
T00697,14:48,Wednesday
T00698,19:43,Monday
T00699,04:06,Wednesday
T00700,10:35,Sunday
T00701,04:12,Friday
T00702,12:32,Monday
T00703,01:08,Wednesday
T00704,15:33,Tuesday
T00705,19:57,Tuesday
T00706,10:59,Wednesday
T00707,05:25,Saturday
T00708,09:37,Friday
T00709,16:34,Saturday
T00710,18:19,Sunday
T00711,00:23,Saturday
T00712,03:26,Wednesday
T00713,23:55,Saturday
T00714,00:38,Wednesday
T00715,20:50,Friday
T00716,07:46,Friday
T00717,15:10,Saturday
T00718,23:39,Tuesday
T00719,21:15,Friday
T00720,22:07,Monday
T00721,14:20,Tuesday
T00722,13:44,Thursday
T00723,16:49,Thursday
T00724,23:46,Saturday
T00725,04:33,Friday
T00726,10:42,Friday
T00727,12:20,Thursday
T00728,17:21,Wednesday
T00729,21:49,Saturday
T00730,20:51,Wednesday
T00731,19:30,Tuesday
T00732,08:35,Tuesday
T00733,09:49,Saturday
T00734,06:44,Thursday
T00735,10:30,Friday
T00736,23:17,Monday
T00737,18:43,Thursday
T00738,12:52,Sunday
T00739,04:18,Wednesday
T00740,22:05,Thursday
T00741,20:16,Thursday
T00742,06:12,Wednesday
T00743,17:44,Tuesday
T00744,03:39,Friday
T00745,07:15,Saturday
T00746,16:14,Tuesday
T00747,01:06,Wednesday
T00748,22:30,Saturday
T00749,04:00,Tuesday
T00750,13:41,Thursday
T00751,20:12,Wednesday
T00752,09:41,Sunday
T00753,02:41,Tuesday
T00754,17:47,Sunday
T00755,01:58,Thursday
T00756,05:59,Sunday
T00757,12:50,Tuesday
T00758,23:55,Monday
T00759,00:19,Friday
T00760,03:59,Wednesday
T00761,14:41,Friday
T00762,15:56,Sunday
T00763,16:29,Tuesday
T00764,03:21,Saturday
T00765,14:41,Saturday
T00766,05:00,Wednesday
T00767,09:36,Sunday
T00768,06:11,Sunday
T00769,20:57,Sunday
T00770,13:32,Monday
T00771,12:42,Tuesday
T00772,04:30,Tuesday
T00773,00:16,Tuesday
T00774,14:48,Wednesday
T00775,09:37,Friday
T00776,00:16,Wednesday
T00777,22:15,Saturday
T00778,03:29,Tuesday
T00779,12:43,Saturday
T00780,09:44,Saturday
T00781,09:23,Tuesday
T00782,07:08,Tuesday
T00783,14:47,Wednesday
T00784,13:44,Thursday
T00785,17:51,Sunday
T00786,06:48,Saturday
T00787,19:55,Friday
T00788,14:33,Wednesday
T00789,02:58,Monday
T00790,01:53,Friday
T00791,06:36,Tuesday
T00792,05:20,Thursday
T00793,03:43,Saturday
T00794,18:31,Friday
T00795,14:51,Thursday
T00796,04:32,Thursday
T00797,18:03,Thursday
T00798,21:51,Saturday
T00799,00:25,Sunday
T00800,00:47,Friday
T00801,02:02,Wednesday
T00802,22:04,Monday
T00803,02:59,Monday
T00804,09:26,Sunday
T00805,04:49,Saturday
T00806,20:26,Thursday
T00807,14:55,Thursday
T00808,02:43,Sunday
T00809,17:08,Sunday
T00810,11:07,Friday
T00811,12:33,Saturday
T00812,07:53,Sunday
T00813,00:19,Saturday
T00814,23:34,Friday
T00815,12:52,Tuesday
T00816,14:22,Wednesday
T00817,06:59,Sunday
T00818,03:02,Thursday
T00819,19:49,Tuesday
T00820,06:04,Friday
T00821,01:28,Saturday
T00822,22:55,Tuesday
T00823,23:02,Thursday
T00824,07:34,Sunday
T00825,01:08,Wednesday
T00826,07:52,Friday
T00827,10:36,Sunday
T00828,21:52,Tuesday
T00829,09:56,Saturday
T00830,16:14,Wednesday
T00831,08:03,Friday
T00832,23:58,Saturday
T00833,21:27,Thursday
T00834,01:22,Saturday
T00835,12:50,Wednesday
T00836,22:26,Tuesday
T00837,09:24,Sunday
T00838,17:30,Sunday
T00839,07:19,Tuesday
T00840,14:58,Friday
T00841,13:26,Friday
T00842,04:24,Wednesday
T00843,06:21,Monday
T00844,14:54,Monday
T00845,17:46,Monday
T00846,08:24,Friday
T00847,19:02,Tuesday
T00848,18:46,Friday
T00849,06:30,Sunday
T00850,10:19,Tuesday
T00851,06:47,Saturday
T00852,15:58,Saturday
T00853,19:45,Thursday
T00854,07:35,Sunday
T00855,09:24,Friday
T00856,20:22,Wednesday
T00857,11:32,Thursday
T00858,03:51,Thursday
T00859,10:58,Wednesday
T00860,10:26,Friday
T00861,07:47,Monday
T00862,08:35,Friday
T00863,23:26,Tuesday
T00864,06:21,Thursday
T00865,18:53,Thursday
T00866,17:41,Wednesday
T00867,08:48,Saturday
T00868,20:47,Thursday
T00869,05:46,Tuesday
T00870,04:46,Thursday
T00871,05:58,Saturday
T00872,01:33,Sunday
T00873,02:52,Monday
T00874,00:26,Sunday
T00875,20:14,Saturday
T00876,04:00,Friday
T00877,14:23,Friday
T00878,20:42,Thursday
T00879,21:31,Monday
T00880,17:35,Monday
T00881,00:33,Wednesday
T00882,17:18,Friday
T00883,22:43,Sunday
T00884,05:06,Friday
T00885,04:15,Friday
T00886,16:16,Wednesday
T00887,12:05,Thursday
T00888,14:36,Saturday
T00889,07:19,Sunday
T00890,02:41,Sunday
T00891,01:05,Thursday
T00892,12:35,Monday
T00893,20:00,Tuesday
T00894,02:31,Saturday
T00895,10:36,Friday
T00896,01:14,Sunday
T00897,22:56,Thursday
T00898,08:02,Saturday
T00899,08:57,Friday
T00900,21:02,Sunday
T00901,10:01,Friday
T00902,04:48,Sunday
T00903,12:59,Wednesday
T00904,05:36,Friday
T00905,12:43,Wednesday
T00906,12:48,Tuesday
T00907,22:46,Friday
T00908,23:22,Monday
T00909,13:14,Wednesday
T00910,19:49,Friday
T00911,12:49,Monday
T00912,20:17,Thursday
T00913,07:22,Thursday
T00914,13:11,Friday
T00915,21:24,Sunday
T00916,19:18,Saturday
T00917,02:05,Tuesday
T00918,12:45,Tuesday
T00919,23:24,Wednesday
T00920,03:05,Wednesday
T00921,14:23,Monday
T00922,04:05,Thursday
T00923,14:35,Friday
T00924,13:06,Monday
T00925,11:35,Friday
T00926,19:50,Sunday
T00927,12:00,Thursday
T00928,12:49,Saturday
T00929,17:57,Friday
T00930,16:10,Thursday
T00931,05:08,Wednesday
T00932,08:31,Monday
T00933,05:27,Thursday
T00934,09:30,Wednesday
T00935,08:15,Saturday
T00936,15:38,Tuesday
T00937,14:06,Wednesday
T00938,00:25,Sunday
T00939,19:24,Thursday
T00940,10:27,Friday
T00941,04:19,Friday
T00942,22:12,Wednesday
T00943,05:25,Wednesday
T00944,23:44,Thursday
T00945,18:50,Wednesday
T00946,12:17,Wednesday
T00947,03:59,Tuesday
T00948,18:34,Saturday
T00949,17:01,Thursday
T00950,22:13,Sunday
T00951,09:53,Monday
T00952,13:43,Tuesday
T00953,20:19,Wednesday
T00954,21:09,Thursday
T00955,12:04,Friday
T00956,15:37,Friday
T00957,16:59,Thursday
T00958,17:02,Saturday
T00959,17:38,Monday
T00960,03:49,Saturday
T00961,21:22,Saturday
T00962,19:02,Saturday
T00963,21:41,Sunday
T00964,10:50,Monday
T00965,00:06,Tuesday
T00966,16:47,Friday
T00967,18:44,Tuesday
T00968,14:23,Thursday
T00969,21:37,Friday
T00970,04:22,Thursday
T00971,03:18,Monday
T00972,03:53,Tuesday
T00973,11:19,Thursday
T00974,06:33,Wednesday
T00975,15:06,Saturday
T00976,22:28,Monday
T00977,09:02,Monday
T00978,00:54,Saturday
T00979,03:43,Saturday
T00980,07:33,Friday
T00981,05:21,Thursday
T00982,14:14,Saturday
T00983,05:11,Saturday
T00984,13:25,Saturday
T00985,19:56,Thursday
T00986,18:27,Monday
T00987,22:13,Wednesday
T00988,22:51,Friday
T00989,03:51,Tuesday
T00990,11:20,Thursday
T00991,03:16,Sunday
T00992,15:33,Wednesday
T00993,19:24,Thursday
T00994,18:07,Wednesday
T00995,14:39,Sunday
T00996,21:45,Friday
T00997,18:05,Tuesday
T00998,10:07,Wednesday
T00999,03:11,Saturday
T01000,04:32,Thursday
T01001,19:08,Thursday
T01002,13:11,Saturday
T01003,17:44,Tuesday
T01004,17:10,Wednesday
T01005,04:11,Sunday
T01006,14:39,Sunday
T01007,11:00,Tuesday
T01008,06:52,Friday
T01009,16:41,Thursday
T01010,21:31,Saturday
T01011,14:31,Monday
T01012,18:01,Wednesday
T01013,01:17,Friday
T01014,09:10,Friday
T01015,23:49,Friday
T01016,16:07,Monday
T01017,08:49,Sunday
T01018,11:34,Sunday
T01019,23:28,Tuesday
T01020,13:06,Sunday
T01021,20:48,Wednesday
T01022,01:28,Wednesday
T01023,02:28,Sunday
T01024,07:13,Friday
T01025,22:22,Friday
T01026,20:27,Friday
T01027,04:50,Sunday
T01028,06:51,Friday
T01029,11:34,Friday
T01030,17:10,Saturday
T01031,09:18,Wednesday
T01032,16:57,Sunday
T01033,03:08,Monday
T01034,08:55,Tuesday
T01035,22:55,Tuesday
T01036,04:45,Sunday
T01037,07:48,Thursday
T01038,15:09,Saturday
T01039,08:40,Thursday
T01040,14:04,Sunday
T01041,02:25,Saturday
T01042,08:44,Thursday
T01043,15:20,Monday
T01044,23:05,Thursday
T01045,20:42,Wednesday
T01046,02:50,Thursday
T01047,06:27,Thursday
T01048,08:20,Wednesday
T01049,17:36,Friday
T01050,15:50,Saturday
T01051,01:02,Saturday
T01052,14:01,Sunday
T01053,05:28,Monday
T01054,13:12,Tuesday
T01055,20:19,Sunday
T01056,08:05,Wednesday
T01057,08:05,Saturday
T01058,20:10,Thursday
T01059,20:19,Saturday
T01060,07:27,Monday
T01061,22:06,Tuesday
T01062,15:04,Friday
T01063,07:33,Thursday
T01064,00:00,Wednesday
T01065,03:55,Saturday
T01066,04:30,Tuesday
T01067,12:05,Sunday
T01068,03:06,Wednesday
T01069,09:08,Sunday
T01070,04:41,Tuesday
T01071,02:33,Monday
T01072,19:41,Thursday
